author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,border closure,,,,
2733766783,2019-11-25 20:34:21+00:00, ,1.19906E+18,en,0,0,0,0, ,"They copy bill from Singapore but can't copy its educational system.

Copy border closure from China but can't copy their death sentence for looters.
Nonsense!",border closure,,,,
1.16915E+18,2019-11-25 15:15:45+00:00, ,1.19898E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
3121085251,2019-11-25 13:23:20+00:00, ,1.19896E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
3313458994,2019-11-25 06:41:25+00:00, ,1.19885E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
275856183,2019-11-25 06:17:08+00:00, ,1.19885E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.0432E+18,2019-11-25 05:58:45+00:00, ,1.19884E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
443626562,2019-11-25 05:49:03+00:00, ,1.19884E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
457874648,2019-11-25 05:25:55+00:00, ,1.19884E+18,en,0,0,0,0, ,@IndependentNGR They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can't copy its Death sentence for the Looters.,border closure,,,,
2971455262,2019-11-25 04:52:14+00:00, ,1.19883E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
558857177,2019-11-24 22:14:00+00:00, ,1.19873E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
541435594,2019-11-24 22:03:05+00:00, ,1.19872E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
3427827855,2019-11-24 20:54:22+00:00, ,1.19871E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.14522E+18,2019-11-24 20:20:02+00:00, ,1.1987E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.19466E+18,2019-11-24 19:45:18+00:00, ,1.19869E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
633963672,2019-11-24 19:32:05+00:00, ,1.19869E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.0217E+18,2019-11-24 19:06:57+00:00, ,1.19868E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
293750409,2019-11-24 19:06:52+00:00, ,1.19868E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1111188889,2019-11-24 18:47:17+00:00, ,1.19867E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.08782E+18,2019-11-24 18:43:30+00:00, ,1.19867E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1110920491,2019-11-24 18:31:29+00:00, ,1.19867E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
258681258,2019-11-24 18:18:57+00:00, ,1.19867E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
9.93293E+17,2019-11-24 18:06:47+00:00, ,1.19866E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
314069524,2019-11-24 17:45:09+00:00, ,1.19866E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
358656191,2019-11-24 16:43:23+00:00, ,1.19864E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
3479676202,2019-11-24 16:37:57+00:00, ,1.19864E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
130323445,2019-11-24 15:27:07+00:00, ,1.19862E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1126391072,2019-11-24 15:26:34+00:00, ,1.19862E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
477855073,2019-11-24 15:06:30+00:00, ,1.19862E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
202339343,2019-11-24 15:02:55+00:00, ,1.19862E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
8.0811E+17,2019-11-24 14:01:25+00:00, ,1.1986E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
2727855046,2019-11-24 13:49:32+00:00, ,1.1986E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
34927999,2019-11-24 13:40:37+00:00, ,1.1986E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
283095702,2019-11-24 13:20:10+00:00, ,1.19859E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
9.28759E+17,2019-11-24 13:15:17+00:00, ,1.19859E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
164292189,2019-11-24 13:13:44+00:00, ,1.19859E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.64744E+17,2019-11-24 13:08:58+00:00, ,1.19859E+18,en,0,0,0,1, ,RT @Holuwasheun243: They copy frm Singapore but can't copy its Educational system. They copy Border Closure frm China but can't copy its De‚Ä?,border closure,,,,
69101173,2019-11-24 13:06:12+00:00, ,1.19859E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
281563297,2019-11-24 13:04:42+00:00, ,1.19859E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.52488E+17,2019-11-24 12:57:50+00:00, ,1.19859E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.03717E+17,2019-11-24 12:51:09+00:00, ,1.19858E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
970811606,2019-11-24 12:35:18+00:00, ,1.19858E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
254165649,2019-11-24 12:28:58+00:00, ,1.19858E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
8.91327E+17,2019-11-24 12:10:31+00:00, ,1.19857E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1165069621,2019-11-24 12:08:41+00:00, ,1.19857E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.64744E+17,2019-11-24 12:07:26+00:00, ,1.19857E+18,en,2,0,0,1, ,"They copy frm Singapore but can't copy its Educational system. They copy Border Closure frm China but can't copy its Death sentence for d Looters.govt who won 2ru hate speech trying 2 kip us mute @iam_Davido ,@SympLySimi @officialnairam1 @kemiadetiba @burnaboy @falzthebahdguy",border closure,,,,
339051557,2019-11-24 11:58:10+00:00, ,1.19857E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
4062726074,2019-11-24 10:57:03+00:00, ,1.19856E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
3026748054,2019-11-24 10:35:04+00:00, ,1.19855E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
808681285,2019-11-24 10:26:39+00:00, ,1.19855E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.12763E+18,2019-11-24 10:16:17+00:00, ,1.19855E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.40234E+17,2019-11-24 10:06:41+00:00, ,1.19854E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
312622617,2019-11-24 10:05:23+00:00, ,1.19854E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1108916918,2019-11-24 09:52:46+00:00, ,1.19854E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
9.52829E+17,2019-11-24 09:39:50+00:00, ,1.19854E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
143238584,2019-11-24 09:16:48+00:00, ,1.19853E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.09857E+18,2019-11-24 09:15:03+00:00, ,1.19853E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.1504E+18,2019-11-24 09:12:19+00:00, ,1.19853E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
2356155309,2019-11-24 09:07:30+00:00, ,1.19853E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.18546E+17,2019-11-24 08:47:06+00:00, ,1.19852E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
372951272,2019-11-24 08:40:09+00:00, ,1.19852E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
736748414,2019-11-24 08:38:46+00:00, ,1.19852E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1344215832,2019-11-24 08:20:21+00:00, ,1.19852E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
277433701,2019-11-24 08:06:57+00:00, ,1.19851E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
936593340,2019-11-24 07:55:18+00:00, ,1.19851E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
244432868,2019-11-24 07:51:30+00:00, ,1.19851E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.19384E+18,2019-11-24 07:48:53+00:00, ,1.19851E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.08046E+18,2019-11-24 07:28:33+00:00, ,1.1985E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
264364685,2019-11-24 07:16:01+00:00, ,1.1985E+18,en,1,0,0,0, ,"This border closure has been of much advantage to us, it has really jump-started much of food producers. ü§£ü§£ü§£

I believe they should remain closed for much longer period just as Singapore &amp; others did until we become self-sufficient in food production &amp; other day to day items. https://t.co/z9371cOn4s",border closure,,,,
9.57987E+17,2019-11-24 07:04:26+00:00, ,1.1985E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.17432E+18,2019-11-24 06:58:39+00:00, ,1.1985E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
357050964,2019-11-24 06:47:20+00:00, ,1.19849E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
350330040,2019-11-24 06:43:37+00:00, ,1.19849E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.07109E+18,2019-11-24 06:39:34+00:00, ,1.19849E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.51031E+17,2019-11-24 06:38:38+00:00, ,1.19849E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
2886949948,2019-11-24 06:30:00+00:00, ,1.19849E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.07412E+18,2019-11-24 05:56:01+00:00, ,1.19848E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
128487494,2019-11-24 05:49:28+00:00, ,1.19848E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
9.81045E+17,2019-11-24 05:29:53+00:00, ,1.19847E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1348585531,2019-11-24 05:12:11+00:00, ,1.19847E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
80821322,2019-11-24 05:02:38+00:00, ,1.19847E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
213350879,2019-11-24 04:56:31+00:00, ,1.19847E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
31695821,2019-11-24 04:46:01+00:00, ,1.19846E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1336505719,2019-11-24 04:33:39+00:00, ,1.19846E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.18435E+18,2019-11-24 04:27:52+00:00, ,1.19846E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
898519686,2019-11-24 03:21:31+00:00, ,1.19844E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
416206518,2019-11-24 02:07:26+00:00, ,1.19842E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
64057053,2019-11-24 02:05:26+00:00, ,1.19842E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
220072142,2019-11-24 01:54:58+00:00, ,1.19842E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
263409886,2019-11-24 01:52:24+00:00, ,1.19842E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
2594197677,2019-11-24 01:46:46+00:00, ,1.19842E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.48744E+17,2019-11-24 00:25:08+00:00, ,1.1984E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.28603E+17,2019-11-24 00:15:39+00:00, ,1.19839E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
3397925968,2019-11-23 23:15:11+00:00, ,1.19838E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
2871537208,2019-11-23 23:09:27+00:00, ,1.19838E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
577206380,2019-11-23 22:43:52+00:00, ,1.19837E+18,en,0,0,0,0, ,They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can't copy its Death sentence for the Looters. APC lead administration Nawo,border closure,,,,
316126414,2019-11-23 22:15:18+00:00, ,1.19836E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
9.87695E+17,2019-11-23 22:07:23+00:00, ,1.19836E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
7.68975E+17,2019-11-23 22:01:55+00:00, ,1.19836E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.07223E+18,2019-11-23 21:17:11+00:00, ,1.19835E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
169005505,2019-11-23 21:09:10+00:00, ,1.19835E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
260351787,2019-11-23 21:03:33+00:00, ,1.19835E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
8.78519E+17,2019-11-23 20:55:59+00:00, ,1.19834E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
1.19419E+18,2019-11-23 20:52:45+00:00, ,1.19834E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can‚Ä?,border closure,,,,
8.56876E+17,2019-11-23 20:39:29+00:00, ,1.19834E+18,en,336,5,30,102, ,@ShehuSani They copy from Singapore but can't copy its Educational system. They copy Border Closure from China but can't copy its Death sentence for the Looters.,border closure,,,,
9.00458E+17,2019-11-13 08:55:53+00:00, ,1.19454E+18,en,0,0,1,0, ,"* Singapore will launch AI Marketplace, a new platform to support small and medium enterprises and startups.

*Nigerian London based president has extended the border closure exercise till January 31st.",border closure,,,,
9.00458E+17,2019-11-07 18:39:19+00:00, ,1.19251E+18,en,0,0,1,0, ,"*Deng Xiaoping didn't prosper China via border closure
*Lee Kuan Yew didn't prosper Singapore üá∏üá¨ vis border closure
*The Industrial Revolution didn't happen because of border closure.",border closure,,,,
490067766,2019-11-05 06:29:05+00:00, ,1.1916E+18,en,0,0,0,4, ,"RT @virtuousmaryam: Sorry sir, China border closure was accompanied by a great famine and the borders got reopened. Terrible classical econ‚Ä?
1325917494,2019-11-04 15:47:17+00:00, ,1191381409845403648,en,0,0,0,4, ,RT @virtuousmaryam: Sorry sir",border closure,,,,
